pt,en,domain,source,note
recursos novos,fresh money,legal-general,Noronha,
recursos remetidos ao exterior,outflow,legal-general,Noronha,
recusa,refusal; denial; declination.,legal-general,Noronha,
recusa (de juiz),disqualification,legal-general,Noronha,
recusa de juiz,judicial denial.,legal-general,Noronha,
recusa de negociação,refusal to deal,competition,CADE,
recusa de testemunha,impeachment of witness,legal-general,Noronha,
recusa em ofertar,refusal to supply,competition,CADE,
recusador,refuser; denier.,legal-general,Noronha,
recusante,refusing; rejecting.,legal-general,Noronha,
recusar,to recuse oneself; disqualify; decline,legal-general,Noronha,
recusar,to refuse; deny; decline; reject.,legal-general,Noronha,
recusation of Court,exceção de suspeição,legal-general,Noronha,
recusação,refusal; denial; declination.,legal-general,Noronha,
recâmbio,redraft; re-exchange.,legal-general,Noronha,
recém-nascido,new-born.,legal-general,Noronha,
recíproco,cross,legal-general,Noronha,
recíproco,reciprocal; mutual; demand; complaint.,legal-general,Noronha,
redargüir,retort; reply; rebut; refute.,legal-general,Noronha,
redator,writer; editor.,legal-general,Noronha,
redação,editorial staff; editorial room; wording; composition.,legal-general,Noronha,
rede,net; grid,legal-general,Noronha,
rede,network.,legal-general,Noronha,
rede bancária,banking network.,legal-general,Noronha,
rede de computadores,computer network.,legal-general,Noronha,
rede de filiais,branch network,legal-general,Noronha,
rede de fornecedores,supply network,competition,CADE,
rede digital de serviços integrados (RDSI) (telecom.),integrated services digital network (ISDN),legal-general,Noronha,
Rede Nacional de Compras Públicas,National Procurement Network,competition,CADE,
rede viária,network of highways,legal-general,Noronha,
redeem (to); repay (to); pay back (to),"reparar, indenizar, remir, amortizar, resgatar (uma hipoteca)",legal-general,Noronha,
redeem a bond,resgatar uma ação,legal-general,Noronha,
redemocratizar,to redemocratize.,legal-general,Noronha,
redemption,remição,legal-general,Noronha,
redemption,resgate de títulos,legal-general,Noronha,
redemption clause,pacto de resgate; de retrato; de retrovenda,legal-general,Noronha,
redemption of culpable delay,emenda de mora,legal-general,Noronha,
redemption of promissory note,resgate de nota promissória,legal-general,Noronha,
redenção,redemption; ransom.,legal-general,Noronha,
redescontar,to rediscount.,legal-general,Noronha,
redesconto,rediscount.,legal-general,Noronha,
redevelopment,reurbanização,legal-general,Noronha,
"redhibitory defect, redhibitory vice, defect hidden, supervening negligence",vício redibitório,legal-general,Noronha,
redhibitory vices,vícios redibitórios,legal-general,Noronha,
redibir,to annul a sale.,legal-general,Noronha,
redibitório,redhibitory; supervening negligence.,legal-general,Noronha,
"redibitório, vício",hidden defect; supervening negligence.,legal-general,Noronha,
redigir,to write; pen; compose.,legal-general,Noronha,
redigir a ata,draw up the minutes,legal-general,Noronha,
redimir,to redeem; ransom.,legal-general,Noronha,
redistribuir,to redistribute.,legal-general,Noronha,
redistribuição,redistribution.,legal-general,Noronha,
redondo,in good shape (financially),legal-general,Noronha,
redraw (to),"ressacar, sacar de novo, reapresentar um cheque",legal-general,Noronha,
redress,compensar,legal-general,Noronha,
redress,desagravo,legal-general,Noronha,
reduzir,diminish; write dow (contabilmente),legal-general,Noronha,
reduzir a termo,put in writing,competition,CADE,
reduzir a termo,reduced to writing,competition,CADE,
reduzir os custos a um mínimo,to slice costs to the bone,legal-general,Noronha,
redução,decrease,legal-general,Noronha,
redução,reduction; abatement; curtailment; decrease.,legal-general,Noronha,
redução de imposto,tax reduction; tax relief.,legal-general,Noronha,
redução de laboração P),negotiated reduction of working hours.,legal-general,Noronha,
redução de penalidade; imunidade parcial,penalties reduced,competition,CADE,
redução de pessoal,downsize,legal-general,Noronha,
redução do capital circulante,reduction - current assets,legal-general,Noronha,
redução do negócio jurídico P),declaration of partial nullity of a contract.,legal-general,Noronha,
redução do preço,markdown.,legal-general,Noronha,
redução em investimentos,investment cutbacks,legal-general,Noronha,
redução em taxas de juros,interest rate relief,legal-general,Noronha,
redução/desconto no imposto,tax abatlement,legal-general,Noronha,
reedição,reissue.,legal-general,Noronha,
reeducação,re-education.,legal-general,Noronha,
reeleger,to re-elect.,legal-general,Noronha,
reeleição,re-election.,legal-general,Noronha,
reembolsar,to reimburse; repay; refund.,legal-general,Noronha,
reembolsar,to repay,legal-general,Noronha,
reembolso,refund; reimbursement; repayment; recourse; chargeback,legal-general,Noronha,
reembolso,reimbursement; refund; repayment.,legal-general,Noronha,
reembolso de ações,refund,legal-general,Noronha,
reembolso de direitos alfandegários,drawback,legal-general,Noronha,
reembolso postal,cash on delivery; collect on delivery COD).,legal-general,Noronha,
reembolso postal,direct merchandising/merchant; mail order,legal-general,Noronha,
reemployment of deposits,reemprego de depósitos,legal-general,Noronha,
reempregar,re-employ.,legal-general,Noronha,
reempréstimo,relending,legal-general,Noronha,
reempréstimo,relending.,legal-general,Noronha,
reengajamento,re-engagement.,legal-general,Noronha,
reengajar,to re-engage.,legal-general,Noronha,
reenvio,renvoi; return.,legal-general,Noronha,
reescalonamento,rescheduling; retiming of payments,legal-general,Noronha,
reestruturação,restructuring; capital reconstruction,legal-general,Noronha,
reexportar,to re-export.,legal-general,Noronha,
reexportação,re-exportation.,legal-general,Noronha,
reextraditar,to re-extradite.,legal-general,Noronha,
reextradição,re-extradition.,legal-general,Noronha,
refeitório,cafeteria,legal-general,Noronha,
refere-se a,refers to,competition,CADE,
Referee,Tribunal de Processos Civis,legal-general,Noronha,
reference bank,banco(s) de referência,legal-general,Noronha,
"reference level, bench mark",NR = Nível de Referência,legal-general,Noronha,
references and legends,convenções e legendas (num mapa),legal-general,Noronha,
referenda P),countersignature.,legal-general,Noronha,
referendar,to countersign; attest; authenticate.,legal-general,Noronha,
referendo,approved,legal-general,Noronha,
referendo,referendum.,legal-general,Noronha,
referendum,referendum.,legal-general,Noronha,
referendário,one who countersigns; chief clerk who countersigns.,legal-general,Noronha,
referente,concerning; regarding; pertaining.,legal-general,Noronha,
referido,aforesaid; above-mentioned.,legal-general,Noronha,
referidos no,referred to in,competition,CADE,
referidos no,reffered to in,competition,CADE,
Referidos/aludidos,Any such,legal-mixed,TIPS,
referir-se,refer to,legal-general,Noronha,
referred to as,designados,legal-general,Noronha,
referred witness,"testemunha referente, referida",legal-general,Noronha,
referência,reference; allusion; mention.,legal-general,Noronha,
refiladeira,reseizer,legal-general,Noronha,
refinanciamento,refinancing.,legal-general,Noronha,
refinancing,refinanciamento,legal-general,Noronha,
refinaria,refinary.,legal-general,Noronha,
refino de produtos,refining of products,competition,CADE,
refletir,ponder; mediate; consider carefully.,legal-general,Noronha,
reflexos,effects thereof; repercussions,legal-general,Noronha,
reforma,rebuilding; renovation; refurbishing,legal-general,Noronha,
reforma,reform,competition,CADE,
reforma,reform; reformation; reversal; renewal; retirement.,legal-general,Noronha,
reforma (de sentença),reversal; renewal,legal-general,Noronha,
reforma agrária,agrarian reform.,legal-general,Noronha,
reforma agrária,farm reform,legal-general,Noronha,
reformado,retired officer.,legal-general,Noronha,
reformar,set aside (contencioso),legal-general,Noronha,
reformar,to reform; remodel; reorganize; renew; remake; amend.,legal-general,Noronha,
reformar a sentença,to reverse the judgement; amend a judgement.,legal-general,Noronha,
reformar decisão,to reverse decision,legal-general,Noronha,
reformar sentença,reverse a judgment; overturn,legal-general,Noronha,
reformar uma letra,renew a bill (to),legal-general,Noronha,
reformatório,reformatory.,legal-general,Noronha,
reforça,reaffirms,competition,CADE,
reforçar garantia,to reinforce a guarantee,legal-general,Noronha,
reforço,reinforcement; prop; brace; fresh troops.,legal-general,Noronha,
reforço de capital,cash injection,legal-general,Noronha,
reforço de garantia,additional guarantee,legal-general,Noronha,
refrain from (to),"omitir, abster-se, renunciar",legal-general,Noronha,
refugiado,refugee.,legal-general,Noronha,
refugiar-se,to take a refuge; look for shelter.,legal-general,Noronha,
refugo,scrap; refute; waste.,legal-general,Noronha,
refund,reembolso,competition,CADE,
refutador,refuter.,legal-general,Noronha,
refutar,to refute; contradict; oppose.,legal-general,Noronha,
refutação,refutation; contestation; confutation.,legal-general,Noronha,
refutável,refutable.,legal-general,Noronha,
refém,hostage.,legal-general,Noronha,
refúgio,refuge; asylum; shelter.,legal-general,Noronha,
regalia,franchise; prerogative; privilege.,legal-general,Noronha,
regatar,to sell at retail.,legal-general,Noronha,
regateador,haggler; bargainer.,legal-general,Noronha,
regatear,to bargain; haggle.,legal-general,Noronha,
regateio,haggling; bargaining.,legal-general,Noronha,
regatão,retail dealer.,legal-general,Noronha,
regenerado,regenerate.,legal-general,Noronha,
regeneração,regeneration.,legal-general,Noronha,
regente,governing.,legal-general,Noronha,
reger,to govern; rule.,legal-general,Noronha,
regicida,regicide; murderer of a king or queen.,legal-general,Noronha,
regicídio,regicide; murder of a king or queen.,legal-general,Noronha,
regime,system.,legal-general,Noronha,
regime,system; ruling; tax regime (fiscal); arrangement (legal),legal-general,Noronha,
regime de caixa,cash basis,legal-general,Noronha,
regime de competência (créditos),accrual basis,legal-general,Noronha,
regime de comunhão de bens,community property ruling,legal-general,Noronha,
regime de comunhão de bens,community property system; matrimonial joint ownership of property.,legal-general,Noronha,
regime de comunhão parcial de bens,partial property ruling,legal-general,Noronha,
regime de comunhão total de bens,universal property ruling,legal-general,Noronha,
regime de condomínio aberto,open-end condominium fund,legal-general,Noronha,
regime de contratação indireta,subcontracting regime,competition,CADE,
regime de parceria,partnership basis,legal-general,Noronha,
regime de separação de bens,separate ownership of property by married people.,legal-general,Noronha,
regime de separação de bens,separate property ruling,legal-general,Noronha,
regime de State global,turnkey,legal-general,Noronha,
regime democrático,democratic system.,legal-general,Noronha,
Regime Diferenciado de Contratação,Direct Contracting Law,competition,CADE,
Regime Diferenciado de Contratação (RDC),Differential Procurement Regime Law (Regime Diferenciado de Contratações),competition,CADE,
regime dotal,dowry; régime dotal.,legal-general,Noronha,
regime parlamentar,parlamentary system.,legal-general,Noronha,
regime presidencial,presidential system.,legal-general,Noronha,
regimento,by-laws; regulation; ruling; rules; regiment.,legal-general,Noronha,
regimento de custas,statute of costs.,legal-general,Noronha,
regimento interno,enabling act,competition,CADE,
regimento interno,enabling statute,competition,CADE,
regimento interno,internal regulation.,legal-general,Noronha,
Regimento Interno,Statute,competition,CADE,
regimento interno do CADE,the Statutes of CADE,competition,CADE,
regimento modificado,revised statute,competition,CADE,
regional,regional.,legal-general,Noronha,
regional court decision,acórdão regional,legal-general,Noronha,
"Regional Labor Court, Regional Court of Appeals (DN)",Tribunal Regional do Trabalho (TRT),legal-general,Noronha,
regionalismo,regionalism.,legal-general,Noronha,
"register (to), legalize (to)",averbar,legal-general,Noronha,
"register (to), record (to), enter (to)",lançar (nos livros),legal-general,Noronha,
register as an employee,registrar em carteira,legal-general,Noronha,
register in the Notary’s Office,registro em Cartório,legal-general,Noronha,
register of deeds; registry of documents,Registro de Títulos e Documentos,legal-general,Noronha,
Register of Titles and Deeds,Cartório de Registro de Títulos e Documentos,legal-general,Noronha,
register office,Cartório de registro,legal-general,Noronha,
"register, record, list, file, roster, registration, reference file",cadastro,legal-general,Noronha,
registered office; principal place of business; head offices,escritórios centrais,legal-general,Noronha,
registered offices with principal place of business,sede,legal-general,Noronha,
"registered offices, main office, head office; principal place of business","sede, sede social",legal-general,Noronha,
registered patent,patente registrada,legal-general,Noronha,
registered shares,ações ordinárias nominativas (nome consta do Registro da Cia.) = ações escriturais,legal-general,Noronha,
registered shares,"escriturais, nominativas",legal-general,Noronha,
registered with Social Security,inscrito no INSS,legal-general,Noronha,
registering,averbação (tornar um documento legal,legal-general,Noronha,
registering of acts and contracts of technology transfer,averbação de atos e contratos de transferência de tecnologia,legal-general,Noronha,
Registo Nacional das Pessoas Colectivas P),national registry of legal entities.,legal-general,Noronha,
registo predial declaratório P),real estate record; real estate title registry; real estate,legal-general,Noronha,
registo provisório P),transitory registration.,legal-general,Noronha,
registrado impetrado,respondent judge,legal-general,Noronha,
registrant,titular da marca (que a registrou),legal-general,Noronha,
Registrar,Escrivão,legal-mixed,TIPS,
registrar,"escrivão, oficial de registros - also secr. geral de universidade",legal-general,Noronha,
registrar,to record,legal-general,Noronha,
registrar,to register.,legal-general,Noronha,
registrar queixa,to press charges,legal-general,Noronha,
registrar um contrato,to draw up a contract,legal-general,Noronha,
registrar uma marca,to register a trademark.,legal-general,Noronha,
registration,registro,legal-general,Noronha,
registration and filing of power of attorney in the office,registro e arquivamento de procuração no escritório,legal-general,Noronha,
registro,enrollment; record,legal-general,Noronha,
registro,register; record; book; registry; certificate.,legal-general,Noronha,
registro,registering,competition,CADE,
registro,registration,competition,CADE,
Registro,Transcript,legal-general,Noronha,
registro civil,civil registry.,legal-general,Noronha,
Registro civil,Vital Records Office,legal-mixed,TIPS,
registro civil das pessoas jurídicas,civil registry of legal entities.,legal-general,Noronha,
registro civil das pessoas naturais,civil registry of individuals.,legal-general,Noronha,
registro contábil,accounting; accounting record.,legal-general,Noronha,
registro da marca,trademark registry.,legal-general,Noronha,
registro da propriedade imobiliária,real estate record; real estate title registration.,legal-general,Noronha,
registro da sentença,the recording of a judgement.,legal-general,Noronha,
registro de capitais estrangeiros,registration of foreign capital.,legal-general,Noronha,
registro de casamento,marriage certificate.,legal-general,Noronha,
registro de duplicatas,book for the registration of trade bills.,legal-general,Noronha,
registro de emissão de valores mobiliários,registration of an issue of securities.,legal-general,Noronha,
registro de imóveis,real estate registry,legal-general,Noronha,
registro de imóveis,real-estate record; real estate title registry; real estate,legal-general,Noronha,
registro de nascimento,birth certificate.,legal-general,Noronha,
registro de navio,registration of a ship.,legal-general,Noronha,
registro de ocorrências policiais,bench blotter.,legal-general,Noronha,
registro de patente,recordation,legal-general,Noronha,
registro de pessoa jurídica,corporate registry,legal-general,Noronha,
registro de pessoal,personnel records,legal-general,Noronha,
registro de produtos no Ministério da Saúde,product registration at Ministry of Health,legal-general,Noronha,
registro de títulos e documentos,registry of documents.,legal-general,Noronha,
registro de títulos mobiliários,registration of securities.,legal-general,Noronha,
registro de óbito,death certificate.,legal-general,Noronha,
registro do comércio,board of trade.,legal-general,Noronha,
registro do navio,registration of ship.,legal-general,Noronha,
registro do testamento,registration of the will.,legal-general,Noronha,
registro dos feitos,recording of cases.,legal-general,Noronha,
registro imobiliário,real estate record; real estate title registry; real estate,legal-general,Noronha,
registro nacional do comércio,national trade registry.,legal-general,Noronha,
registro naval,register of ships.,legal-general,Noronha,
registro no conselho regional de farmácia (CRF),pharmacy registry accounting council,legal-general,Noronha,
registro no conselho regional de química (CRQ),regional chemical council - CRQ registration,legal-general,Noronha,
registro paroquial,parochial register.,legal-general,Noronha,
registro público,public registry.,legal-general,Noronha,
registro simplificado/resumido,short form registration statement,legal-general,Noronha,
registros/extratos bancários,bank records,legal-general,Noronha,
registry nominative share register,registro de ações nominativas,legal-general,Noronha,
Registry of Commerce/ Trade,Junta Comercial,legal-general,Noronha,
Registry of Titles and Documents,Cartório de Registro de Títulos e Documentos,legal-general,Noronha,
registry office (notary public),cartório de registros,legal-general,Noronha,
região,circuit,legal-general,Noronha,
região do ABC,"satellite cities of SA, SBC and SC",legal-general,Noronha,
região-base,approved location,competition,CADE,
regra,rule; norm; principle; standard; order.,legal-general,Noronha,
regra da razão,rule of reason,competition,CADE,
regra de direito,rule of law.,legal-general,Noronha,
regra forense,forensic rule.,legal-general,Noronha,
regra jurídica,rule of law.,legal-general,Noronha,
regra legal,rule of law.,legal-general,Noronha,
regra moral,moral rule.,legal-general,Noronha,
regras contábeis pormenorizadas,detailed accounting principles,legal-general,Noronha,
regras editalícias,government notice rules,competition,CADE,
regressivao),regressive; retroactive.,legal-general,Noronha,
regresso,recourse,legal-general,Noronha,
regresso,return.,legal-general,Noronha,
regulador,regulator.,legal-general,Noronha,
regulamentar,to regulate.,legal-general,Noronha,
regulamentação,regulation.,legal-general,Noronha,
Regulamentação,Regulations,legal-mixed,TIPS,
regulamentação conjunta,joint regulation,competition,CADE,
regulamento,regulation,competition,CADE,
regulamento,regulations; rules; statute; ordinance.,legal-general,Noronha,
regulamento bancário,banking regulation.,legal-general,Noronha,
regulamento de execução P),regulation detailing the term of a statute.,legal-general,Noronha,
regulamento do mercado de capitais,securities regulation.,legal-general,Noronha,
regulamento tarifário,tariff regulation.,legal-general,Noronha,
regulamento(s),regulations; enabling legislation; rules,legal-general,Noronha,
regular,regular; usual; legal; lawful.,legal-general,Noronha,
regular (adj.),routine,legal-general,Noronha,
regular session,sessão ordinária,legal-general,Noronha,
regularidade,good standing; regular standing,legal-general,Noronha,
regularidade,regularity.,legal-general,Noronha,
regularity,regularidade,legal-general,Noronha,
regularizar,to regularize; regulate.,legal-general,Noronha,
regularização (documentos),perfection; regularization,legal-general,Noronha,
regulation,"regulamentação, regulamento, regra, precito",legal-general,Noronha,
Regulation,Regulamento,competition,CADE,
Regulation (EU) 2016/679,Regulamento 2016/679,competition,CADE,
regulations (internal regulations),regimento,legal-general,Noronha,
Regulations on Hydraulic Cement Concretes,Regulamento de Betões de Ligantes Hidráulicos (ST),legal-general,Noronha,
regulatory body,órgão regulador,legal-general,Noronha,
regulação,regulation.,legal-general,Noronha,
regência,regency; government.,legal-general,Noronha,
rei,king.,legal-general,Noronha,
reimburse,"reembolsar, pagar a, indenizar (pessoa), compensar (despesas, perda)",legal-general,Noronha,
reimbursement; recovery; recoupment,reembolso,legal-general,Noronha,
reinado,reign.,legal-general,Noronha,
reinar,to reign; rule; govern; predominate.,legal-general,Noronha,
reincidente,recidivist; repeater,legal-general,Noronha,
reincidente,recidivist; repeater.,legal-general,Noronha,
reincidir,to relapse.,legal-general,Noronha,
reincidência,relapse; contumacy.,legal-general,Noronha,
reincidência específica,specific contumacy.,legal-general,Noronha,
reinforced concrete,concreto armado,legal-general,Noronha,
reino,kingdom.,legal-general,Noronha,
reinol,born in the kingdom.,legal-general,Noronha,
reinquirir,to re-examine; cross-examine.,legal-general,Noronha,
reinquirição,re-examination.,legal-general,Noronha,
reinstate,"reintegrar (em cargo, posse), reempossar, restabelecer",legal-general,Noronha,
reintegrar,to reintegrate; repossess.,legal-general,Noronha,
reintegração,readmittance; replenishment,legal-general,Noronha,
reintegração,reintegration; repossession.,legal-general,Noronha,
reintegração da posse,repossession; reinstatement.,legal-general,Noronha,
reintegração de posse,repossession,legal-general,Noronha,
reintegração do capital social P),"complementary capital contributions to an entity, as a result of",legal-general,Noronha,
reintegração no emprego,rehiring to the position,legal-general,Noronha,
reinvestimento,reinvestment.,legal-general,Noronha,
reinvestimento de lucros,reinvestment of profits.,legal-general,Noronha,
reinvindicação,revendication; counterclaim; petitory action.,legal-general,Noronha,
reinícola,expert in national legislation.,legal-general,Noronha,
reipersecutório,in rem,legal-general,Noronha,
reiterar,to reiterate; repeat; renew.,legal-general,Noronha,
reiteração,reiteration,legal-general,Noronha,
reiteração,reiteration; repetition; renewal.,legal-general,Noronha,
reivindicar,to indicate; uphold; maintain; defend,legal-general,Noronha,
reivindicar,to vindicate; claim; demand; recover; regain.,legal-general,Noronha,
reivindicação,claim; demand,legal-general,Noronha,
rejeitado; recusado,to be turned down,legal-general,Noronha,
rejeitar,block,competition,CADE,
rejeitar,to reject; refuse; decline.,legal-general,Noronha,
rejeitar a petição inicial,to dismiss the complaint,legal-general,Noronha,
rejeitar uma ação,dismiss in action; to dismiss a suit or claim,legal-general,Noronha,
rejeição,rejection; refusal; denial.,legal-general,Noronha,
rejeição de carga,load shedding,legal-general,Noronha,
relapse; contumacy,reincidência,legal-general,Noronha,
relapsia,relapse.,legal-general,Noronha,
relapso,relapser; recidivist; unrepentant person.,legal-general,Noronha,
relatar,to relate; report; give an account of.,legal-general,Noronha,
relatar o acórdão,to state opinion.,legal-general,Noronha,
relatar o feito,to state the case.,legal-general,Noronha,
related by marriage; non-blood relative; affinity,parentesco por afinidade,legal-general,Noronha,
related order requests,pedidos conexos,legal-general,Noronha,
related services,serviços correlatos,legal-general,Noronha,
related tangible assets,ativos tangíveis correlatos,legal-general,Noronha,
relationship,"participação, vinculação",legal-general,Noronha,
"relative presumption, inconclusive presumption",presunção relativa,legal-general,Noronha,
relativo,relative; comparative; relating.,legal-general,Noronha,
relativos a,concerning,competition,CADE,
relativos a,regarding,competition,CADE,
relator,rapporteur,competition,CADE,
Relator,"Relater,chairperson",legal-general,Noronha,
relator,relater; reporter.,legal-general,Noronha,
relator,reporter,legal-general,Noronha,
relator (juiz),reporting judge; judge who wrote the opinion,legal-general,Noronha,
"relator action (UK), class action","ação popular, ação coletiva",legal-general,Noronha,
relator ou reporter (one who prepares reports of cases in courts),relator (juiz ou desembargador relator),legal-general,Noronha,
relatório,report,competition,CADE,
relatório,report.,legal-general,Noronha,
relatório anual,annual report.,legal-general,Noronha,
relatório anual de gestão,annual management report,competition,CADE,
relatório circunstanciado,detailed report,competition,CADE,
relatório com proposta de política,green paper,legal-general,Noronha,
relatório da administração,management report,legal-general,Noronha,
relatório da diretoria,executive board report,legal-general,Noronha,
relatório de auditoria,audit report.,legal-general,Noronha,
relatório de auditoria,due diligence report,legal-general,Noronha,
relatório de despesas,expense report.,legal-general,Noronha,
Relatório de Impacto Ambiental RIMA) BR),environmental impact report.,legal-general,Noronha,
relatório de instrução,substantiated report,legal-general,Noronha,
Relatório de Qualidade do Meio Ambiente BR),environmental quality report.,legal-general,Noronha,
relatório descritivo,specifications,legal-general,Noronha,
relatório do processo,abstract report.,legal-general,Noronha,
relatório gerencial,management report.,legal-general,Noronha,
relatório integrado,integrated report,competition,CADE,
relatório oficial do governo,white paper,legal-general,Noronha,
relatório provisório,flash report.,legal-general,Noronha,
relatório provisório,interim report,legal-general,Noronha,
relaxamento,carelessness.,legal-general,Noronha,
relaxamento de prisão,release from jail.,legal-general,Noronha,
relaxar,to loosen; pardon; reduce punishment; relax.,legal-general,Noronha,
relaxe,colletion in court of a debt.,legal-general,Noronha,
relação,relation; relationship; bill; report; list; roll; statement.,legal-general,Noronha,
relação causal,relation of cause.,legal-general,Noronha,
relação colectiva de trabalho P),collective labor agreement.,legal-general,Noronha,
relação contratual de facto P),verbal contractual relationship.,legal-general,Noronha,
relação de direito,legal relationship.,legal-general,Noronha,
relação de emprego,employment relationship.,legal-general,Noronha,
relação de materiais,bill of materials.,legal-general,Noronha,
relação de parentesco,blood relation.,legal-general,Noronha,
relação de pessoas,roster.,legal-general,Noronha,
relação jurídica,legal relationship.,legal-general,Noronha,
relação sexual,sexual relation; sexual intercourse.,legal-general,Noronha,
relações com empregados,employee relations,legal-general,Noronha,
relações com o pessoal,personnel relations,legal-general,Noronha,
relações comerciais,business connections; business relations.,legal-general,Noronha,
relações contratuais,contractual relationships,competition,CADE,
relações diplomáticas,diplomatic relations.,legal-general,Noronha,
relações exteriores,foreign affairs.,legal-general,Noronha,
relações intergrupais,intergroup relations,legal-general,Noronha,
relações no trabalho,job relations,legal-general,Noronha,
relações públicas,public relations.,legal-general,Noronha,
relações trabalhistas,labor relations,legal-general,Noronha,
rele coletora de águas pluviais,storm water system,legal-general,Noronha,
release,"liberação, isenção, desobrigação, cessão ou renúncia de direito, transferência de propriedade",legal-general,Noronha,
release (software),lançamento,legal-general,Noronha,
release (to),colocar em liberdade,legal-general,Noronha,
release (to),desonerar,legal-general,Noronha,
release (to),"liberar, desobrigar, eximir, isentar, renunciar a (direito), transferir (propriedade), remitir (dívida)",legal-general,Noronha,
"release (to), settle (to), to pay off","liquidar, pagar uma dívida, saldar ou liquidar contas",legal-general,Noronha,
release by abandonment,abandono liberatório (Portugal),legal-general,Noronha,
"release of payments, discharge, acquittance, redemption, quit claim",quitação,legal-general,Noronha,
release on bail,soltura mediante fiança,legal-general,Noronha,
"release, discharge",liberação (desoneração),legal-general,Noronha,
"release, discharge",soltura de um preso,legal-general,Noronha,
"release, discharge from (an obligation) (to)",desobrigar,legal-general,Noronha,
relegar,to relegate; banish; reject.,legal-general,Noronha,
relegação,relegation; rejection; banishment.,legal-general,Noronha,
"relevant act, material act",ato pertinente,legal-general,Noronha,
relevant currency,moeda principal,legal-general,Noronha,
relevant government agency,órgão governamental competente,legal-general,Noronha,
relevante,relevant; significant; important; outstanding.,legal-general,Noronha,
relevante (adj.),material; substantial,legal-general,Noronha,
relevar,release; discharge; pardon; excuse.,legal-general,Noronha,
relevação,exemption; remission; pardon.,legal-general,Noronha,
relevância,materiality,legal-general,Noronha,
relevância,significance; importance.,legal-general,Noronha,
reliable sources,confiabilidade da origem,legal-general,Noronha,
reliance,"confiança, dependência, ligação, segurança",legal-general,Noronha,
relicitar,to auction for the second time.,legal-general,Noronha,
relicitação,new public auction.,legal-general,Noronha,
relief,"amparo, deferimento",legal-general,Noronha,
relief well,alívio (poço de),legal-general,Noronha,
"relieved, isempt",desobrigado,legal-general,Noronha,
religioso,religious.,legal-general,Noronha,
"rely (on, upon)","confiar em, ter confiança em, fiar-se em, contar com",legal-general,Noronha,
relógio de ponto,time clock.,legal-general,Noronha,
remain vested in the party…,permanecer de propriedade da parte…,legal-general,Noronha,
remainder,restante,legal-general,Noronha,
remanente,residuary.,legal-general,Noronha,
remanescente,remainder; remain; remaining; surplus.,legal-general,Noronha,
remanescer,to remain.,legal-general,Noronha,
remarcar,to markdown; markup.,legal-general,Noronha,
remarcação,markdown; renewed marking.,legal-general,Noronha,
remarcações,markups,legal-general,Noronha,
remedial statutes,lei para corrigir falhas de legislação anterior,legal-general,Noronha,
remedy,"remédio jurídico, recurso jurídico",legal-general,Noronha,
remedy,"remédio, recurso",legal-general,Noronha,
remedy,"sanar, reparar, corrigir, retificar",legal-general,Noronha,
"remedy – seek a remedy, seek relief",recurso,legal-general,Noronha,
"remedy, remedies","recursos legais, remédios",legal-general,Noronha,
remessa,remittance; sending; shipping; delivery.,legal-general,Noronha,
remessa ao exterior,offshore remittances,legal-general,Noronha,
remessa de rendimentos,remittances of income,legal-general,Noronha,
remessa dos autos,the sending of a court file.,legal-general,Noronha,
remessa ex-ofício,remittitur of record (= remessa de ofício),legal-general,Noronha,
remessa financeira,financial remittance.,legal-general,Noronha,
remessa à cobrança P),bank collection.,legal-general,Noronha,
remetente,remittor; sender; addresser.,legal-general,Noronha,
remeter,to send; entrust; defer.,legal-general,Noronha,
remido,redeemed; freed.,legal-general,Noronha,
remidor,redeemer; deliverer.,legal-general,Noronha,
reminder letter,aviso de cobrança,legal-general,Noronha,
remir,to redeem; free; rescue.,legal-general,Noronha,
remissivo,cross reference.,legal-general,Noronha,
remisso,in default; in arrears,legal-general,Noronha,
remisso,remiss; careless; negligent; delinquent.,legal-general,Noronha,
remissor,that which contains a remission.,legal-general,Noronha,
remissão,remission; pardon; forgiveness.,legal-general,Noronha,
remissão da dívida,remission of the debt.,legal-general,Noronha,
remissão da pena,remission of the punishment.,legal-general,Noronha,
remissão de hipoteca,mortgage release,legal-general,Noronha,
remissão expressa,conventional remission.,legal-general,Noronha,
remissão tácita,tacit remission.,legal-general,Noronha,
remitente,remittent.,legal-general,Noronha,
remitir,to remit; forgive; pardon; excuse.,legal-general,Noronha,
remitir uma hipoteca,to release a mortgage,legal-general,Noronha,
remittance,"remessa (de dinheiro), envio (de dinheiro), dinheiro remetido",legal-general,Noronha,
remittance slip,guia de remessa,legal-general,Noronha,
remittances,remessas de valores,legal-general,Noronha,
remição,redemption.,legal-general,Noronha,
remolded,"amolgado (argila, solo)",legal-general,Noronha,
remote damage,dano remoto,legal-general,Noronha,
remoteness of damage,desproporção entre a ação e o dano,legal-general,Noronha,
remoto,remote; distant.,legal-general,Noronha,
removable bridge,ponte postiça,legal-general,Noronha,
Removal,Substituição,legal-general,Noronha,
"removal (from office), discharge, dismissal","afastamento/ destituição (de cargo), transferência, remoção, mudança, demissão, destituição, substituição",legal-general,Noronha,
removal of cause,desaforamento do processo,legal-general,Noronha,
remove,"substituir, afastar, retirar, demitir, remover",legal-general,Noronha,
remove from office,destituir do cargo,legal-general,Noronha,
remoção,removal; transfer; withdrawal.,legal-general,Noronha,
